Q2 | 64 | Позиция маркирована | Маркер #32
Q5 | 64 | Позиция маркирована | Маркер #32
Q6 | 64 | Маркер уничтожен из конечной очереди | 
P6 | 65 | Позиция маркирована | Маркер #32
P5 | 65 | Позиция маркирована | Маркер #32
Q6 | 65 | Маркер уничтожен из конечной очереди | 
Q6 | 66 | Позиция маркирована | Маркер #32
P6 | 66 | Маркер покинул позицию | Маркер #32
P5 | 66 | Маркер покинул позицию | Маркер #32
Q2 | 66 | Позиция маркирована | Маркер #33
Q5 | 66 | Позиция маркирована | Маркер #33
Q6 | 66 | Маркер уничтожен из конечной очереди | 
P6 | 67 | Позиция маркирована | Маркер #33
P5 | 67 | Позиция маркирована | Маркер #33
Q6 | 67 | Маркер уничтожен из конечной очереди | 
Q6 | 68 | Позиция маркирована | Маркер #33
P6 | 68 | Маркер покинул позицию | Маркер #33
P5 | 68 | Маркер покинул позицию | Маркер #33
Q2 | 68 | Позиция маркирована | Маркер #34
Q5 | 68 | Позиция маркирована | Маркер #34
Q6 | 68 | Маркер уничтожен из конечной очереди | 
P6 | 69 | Позиция маркирована | Маркер #34
P5 | 69 | Позиция маркирована | Маркер #34
Q6 | 69 | Маркер уничтожен из конечной очереди | 
Q6 | 70 | Позиция маркирована | Маркер #34
P6 | 70 | Маркер покинул позицию | Маркер #34
P5 | 70 | Маркер покинул позицию | Маркер #34
Q2 | 70 | Позиция маркирована | Маркер #35
Q5 | 70 | Позиция маркирована | Маркер #35
Q6 | 70 | Маркер уничтожен из конечной очереди | 
P6 | 71 | Позиция маркирована | Маркер #35
P5 | 71 | Позиция маркирована | Маркер #35
Q6 | 71 | Маркер уничтожен из конечной очереди | 
Q6 | 72 | Позиция маркирована | Маркер #35
P6 | 72 | Маркер покинул позицию | Маркер #35
P5 | 72 | Маркер покинул позицию | Маркер #35
Q2 | 72 | Позиция маркирована | Маркер #36
Q5 | 72 | Позиция маркирована | Маркер #36
Q6 | 72 | Маркер уничтожен из конечной очереди | 
P6 | 73 | Позиция маркирована | Маркер #36
P5 | 73 | Позиция маркирована | Маркер #36
Q6 | 73 | Маркер уничтожен из конечной очереди | 
Q6 | 74 | Позиция маркирована | Маркер #36
P6 | 74 | Маркер покинул позицию | Маркер #36
P5 | 74 | Маркер покинул позицию | Маркер #36
Q2 | 74 | Позиция маркирована | Маркер #37
Q5 | 74 | Позиция маркирована | Маркер #37
Q6 | 74 | Маркер уничтожен из конечной очереди | 
P6 | 75 | Позиция маркирована | Маркер #37
P5 | 75 | Позиция маркирована | Маркер #37
Q6 | 75 | Маркер уничтожен из конечной очереди | 
Q6 | 76 | Позиция маркирована | Маркер #37
P6 | 76 | Маркер покинул позицию | Маркер #37
P5 | 76 | Маркер покинул позицию | Маркер #37
Q2 | 76 | Позиция маркирована | Маркер #38
Q5 | 76 | Позиция маркирована | Маркер #38
Q6 | 76 | Маркер уничтожен из конечной очереди | 
P6 | 77 | Позиция маркирована | Маркер #38
P5 | 77 | Позиция маркирована | Маркер #38
Q6 | 77 | Маркер уничтожен из конечной очереди | 
Q6 | 78 | Позиция маркирована | Маркер #38
P6 | 78 | Маркер покинул позицию | Маркер #38
P5 | 78 | Маркер покинул позицию | Маркер #38
Q2 | 78 | Позиция маркирована | Маркер #39
Q5 | 78 | Позиция маркирована | Маркер #39
Q6 | 78 | Маркер уничтожен из конечной очереди | 
P6 | 79 | Позиция маркирована | Маркер #39
